dma_code,dma_name,period_start,period_end,search_interest,scaled_search_interest,is_partial
800,Bakersfield,2024-01-01T00:00:00Z,2024-02-01T00:00:00Z,13000,53,False
800,Bakersfield,2024-02-01T00:00:00Z,2024-03-01T00:00:00Z,9400,37,False
800,Bakersfield,2024-03-01T00:00:00Z,2024-04-01T00:00:00Z,6400,25,False
800,Bakersfield,2024-04-01T00:00:00Z,2024-05-01T00:00:00Z,9400,37,False
800,Bakersfield,2024-05-01T00:00:00Z,2024-06-01T00:00:00Z,10000,39,False
800,Bakersfield,2024-06-01T00:00:00Z,2024-07-01T00:00:00Z,7200,28,False
800,Bakersfield,2024-07-01T00:00:00Z,2024-08-01T00:00:00Z,8200,32,False
800,Bakersfield,2024-08-01T00:00:00Z,2024-09-01T00:00:00Z,9200,37,False
800,Bakersfield,2024-09-01T00:00:00Z,2024-10-01T00:00:00Z,12000,47,False
800,Bakersfield,2024-10-01T00:00:00Z,2024-11-01T00:00:00Z,4700,19,False
800,Bakersfield,2024-11-01T00:00:00Z,2024-12-01T00:00:00Z,10000,40,False
800,Bakersfield,2024-12-01T00:00:00Z,2025-01-01T00:00:00Z,9500,38,False
800,Bakersfield,2025-01-01T00:00:00Z,2025-02-01T00:00:00Z,6000,24,False
800,Bakersfield,2025-02-01T00:00:00Z,2025-03-01T00:00:00Z,7800,31,False
800,Bakersfield,2025-03-01T00:00:00Z,2025-04-01T00:00:00Z,9700,38,False
800,Bakersfield,2025-04-01T00:00:00Z,2025-05-01T00:00:00Z,9100,36,False
800,Bakersfield,2025-05-01T00:00:00Z,2025-06-01T00:00:00Z,7800,31,False
800,Bakersfield,2025-06-01T00:00:00Z,2025-07-01T00:00:00Z,9100,36,False
800,Bakersfield,2025-07-01T00:00:00Z,2025-08-01T00:00:00Z,11000,44,False
800,Bakersfield,2025-08-01T00:00:00Z,2025-09-01T00:00:00Z,11000,43,False
800,Bakersfield,2025-09-01T00:00:00Z,2025-10-01T00:00:00Z,11000,42,False
800,Bakersfield,2025-10-01T00:00:00Z,2025-11-01T00:00:00Z,12000,49,False
800,Bakersfield,2025-11-01T00:00:00Z,2025-12-01T00:00:00Z,25000,100,False
800,Bakersfield,2025-12-01T00:00:00Z,2026-01-01T00:00:00Z,12000,47,False
800,Bakersfield,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,8700,34,False
800,Bakersfield,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,12000,47,False
800,Bakersfield,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,9300,37,False
800,Bakersfield,2026-04-01T00:00:00Z,2026-05-01T00:00:00Z,15000,58,False
800,Bakersfield,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,12000,46,False
800,Bakersfield,2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,6000,24,True
813,Chico–Redding,2024-01-01T00:00:00Z,2024-02-01T00:00:00Z,17000,35,False
813,Chico–Redding,2024-02-01T00:00:00Z,2024-03-01T00:00:00Z,21000,42,False
813,Chico–Redding,2024-03-01T00:00:00Z,2024-04-01T00:00:00Z,13000,26,False
813,Chico–Redding,2024-04-01T00:00:00Z,2024-05-01T00:00:00Z,24000,49,False
813,Chico–Redding,2024-05-01T00:00:00Z,2024-06-01T00:00:00Z,15000,31,False
813,Chico–Redding,2024-06-01T00:00:00Z,2024-07-01T00:00:00Z,26000,53,False
813,Chico–Redding,2024-07-01T00:00:00Z,2024-08-01T00:00:00Z,16000,33,False
813,Chico–Redding,2024-08-01T00:00:00Z,2024-09-01T00:00:00Z,17000,34,False
813,Chico–Redding,2024-09-01T00:00:00Z,2024-10-01T00:00:00Z,24000,49,False
813,Chico–Redding,2024-10-01T00:00:00Z,2024-11-01T00:00:00Z,18000,36,False
813,Chico–Redding,2024-11-01T00:00:00Z,2024-12-01T00:00:00Z,33000,67,False
813,Chico–Redding,2024-12-01T00:00:00Z,2025-01-01T00:00:00Z,16000,33,False
813,Chico–Redding,2025-01-01T00:00:00Z,2025-02-01T00:00:00Z,31000,64,False
813,Chico–Redding,2025-02-01T00:00:00Z,2025-03-01T00:00:00Z,23000,46,False
813,Chico–Redding,2025-03-01T00:00:00Z,2025-04-01T00:00:00Z,20000,40,False
813,Chico–Redding,2025-04-01T00:00:00Z,2025-05-01T00:00:00Z,21000,42,False
813,Chico–Redding,2025-05-01T00:00:00Z,2025-06-01T00:00:00Z,17000,34,False
813,Chico–Redding,2025-06-01T00:00:00Z,2025-07-01T00:00:00Z,13000,26,False
813,Chico–Redding,2025-07-01T00:00:00Z,2025-08-01T00:00:00Z,23000,46,False
813,Chico–Redding,2025-08-01T00:00:00Z,2025-09-01T00:00:00Z,25000,50,False
813,Chico–Redding,2025-09-01T00:00:00Z,2025-10-01T00:00:00Z,26000,52,False
813,Chico–Redding,2025-10-01T00:00:00Z,2025-11-01T00:00:00Z,47000,94,False
813,Chico–Redding,2025-11-01T00:00:00Z,2025-12-01T00:00:00Z,49000,100,False
813,Chico–Redding,2025-12-01T00:00:00Z,2026-01-01T00:00:00Z,17000,35,False
813,Chico–Redding,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,27000,54,False
813,Chico–Redding,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,16000,33,False
813,Chico–Redding,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,23000,47,False
813,Chico–Redding,2026-04-01T00:00:00Z,2026-05-01T00:00:00Z,20000,42,False
813,Chico–Redding,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,25000,51,False
813,Chico–Redding,2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,13000,26,True
868,Santa Barbara,2024-01-01T00:00:00Z,2024-02-01T00:00:00Z,10000,34,False
868,Santa Barbara,2024-02-01T00:00:00Z,2024-03-01T00:00:00Z,8200,26,False
868,Santa Barbara,2024-03-01T00:00:00Z,2024-04-01T00:00:00Z,0,0,False
868,Santa Barbara,2024-04-01T00:00:00Z,2024-05-01T00:00:00Z,11000,36,False
868,Santa Barbara,2024-05-01T00:00:00Z,2024-06-01T00:00:00Z,12000,38,False
868,Santa Barbara,2024-06-01T00:00:00Z,2024-07-01T00:00:00Z,8500,27,False
868,Santa Barbara,2024-07-01T00:00:00Z,2024-08-01T00:00:00Z,0,0,False
868,Santa Barbara,2024-08-01T00:00:00Z,2024-09-01T00:00:00Z,12000,40,False
868,Santa Barbara,2024-09-01T00:00:00Z,2024-10-01T00:00:00Z,8800,28,False
868,Santa Barbara,2024-10-01T00:00:00Z,2024-11-01T00:00:00Z,7500,24,False
868,Santa Barbara,2024-11-01T00:00:00Z,2024-12-01T00:00:00Z,13000,40,False
868,Santa Barbara,2024-12-01T00:00:00Z,2025-01-01T00:00:00Z,9400,30,False
868,Santa Barbara,2025-01-01T00:00:00Z,2025-02-01T00:00:00Z,12000,37,False
868,Santa Barbara,2025-02-01T00:00:00Z,2025-03-01T00:00:00Z,15000,47,False
868,Santa Barbara,2025-03-01T00:00:00Z,2025-04-01T00:00:00Z,11000,35,False
868,Santa Barbara,2025-04-01T00:00:00Z,2025-05-01T00:00:00Z,19000,62,False
868,Santa Barbara,2025-05-01T00:00:00Z,2025-06-01T00:00:00Z,11000,36,False
868,Santa Barbara,2025-06-01T00:00:00Z,2025-07-01T00:00:00Z,8300,27,False
868,Santa Barbara,2025-07-01T00:00:00Z,2025-08-01T00:00:00Z,14000,45,False
868,Santa Barbara,2025-08-01T00:00:00Z,2025-09-01T00:00:00Z,0,0,False
868,Santa Barbara,2025-09-01T00:00:00Z,2025-10-01T00:00:00Z,16000,51,False
868,Santa Barbara,2025-10-01T00:00:00Z,2025-11-01T00:00:00Z,31000,100,False
868,Santa Barbara,2025-11-01T00:00:00Z,2025-12-01T00:00:00Z,18000,57,False
868,Santa Barbara,2025-12-01T00:00:00Z,2026-01-01T00:00:00Z,7800,25,False
868,Santa Barbara,2026-01-01T00:00:00Z,2026-02-01T00:00:00Z,16000,51,False
868,Santa Barbara,2026-02-01T00:00:00Z,2026-03-01T00:00:00Z,17000,54,False
868,Santa Barbara,2026-03-01T00:00:00Z,2026-04-01T00:00:00Z,15000,49,False
868,Santa Barbara,2026-04-01T00:00:00Z,2026-05-01T00:00:00Z,13000,41,False
868,Santa Barbara,2026-05-01T00:00:00Z,2026-06-01T00:00:00Z,20000,63,False
868,Santa Barbara,2026-06-01T00:00:00Z,2026-07-01T00:00:00Z,7700,25,True
